id,bill_id,customer_id,invoice_date,year,month,total_rent_cost,received_total_rent_cost,pending_rent_cost,actual_total_security_deposit_amount,received_total_security_deposit_amount,pending_security_amount,received_total_processing_fee,received__total_installation_fee,followup_status,remarks,is_paid_total_amount,invoice_status,due_date,tax,discount_amount,discount_type,discount_reason,Late_Payment_Charge,invoice_mail_status,invoice_sms_status
1319,,EV0102,,2018,Aug,1016.95,0.00,3600.00,0.00,0.00,0,0.00,0.00,,,0,,,183.05,0,0,,0.00,1,0
1320,,PR0002,,2018,Aug,1016.95,0.00,3600.00,0.00,0.00,0,0.00,0.00,,,0,,,183.05,0,0,,0.00,1,0
1321,,PR0003,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1322,,PR0021,,2018,Aug,2358.32,0.00,8700.01,0.00,0.00,0,0.00,0.00,,,0,,,541.69,0,0,,0.00,1,0
1323,,PR0034,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1324,,PR0035,,2018,Aug,1921.35,0.00,7200.01,0.00,0.00,0,0.00,0.00,,,0,,,478.66,0,0,,0.00,1,0
1325,,PR0040,,2018,Aug,1472.46,0.00,5400.00,0.00,0.00,0,0.00,0.00,,,0,,,327.54,0,0,,0.00,1,0
1326,,PR0043,,2018,Aug,1133.47,0.00,4199.99,0.00,0.00,0,0.00,0.00,,,0,,,266.52,0,0,,0.00,1,0
1327,,PR0048,,2018,Aug,3654.66,0.00,13500.00,0.00,0.00,0,0.00,0.00,,,0,,,845.34,0,0,,0.00,1,0
1328,,PR0049,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1329,,PR0052,,2018,Aug,1186.44,0.00,4200.00,0.00,0.00,0,0.00,0.00,,,0,,,213.56,0,0,,0.00,1,0
1330,,PR0055,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1331,,PR0062,,2018,Aug,1250.00,0.00,4800.00,0.00,0.00,0,0.00,0.00,,,0,,,350.00,0,0,,0.00,1,0
1332,,PR0074,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1333,,PR0075,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1334,,PR0095,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1335,,PR0122,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1336,,PR0123,,2018,Aug,3050.84,0.00,10799.98,0.00,0.00,0,0.00,0.00,,,0,,,549.14,0,0,,0.00,1,0
1337,,PR0124,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1338,,PR0126,,2018,Aug,6640.64,0.00,25500.03,0.00,0.00,0,0.00,0.00,,,0,,,1859.39,0,0,,0.00,1,0
1339,,PR0129,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1340,,PR0133,,2018,Aug,625.00,0.00,2400.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
1341,,PR0135,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1342,,PR0140,,2018,Aug,1680.35,0.00,6300.00,0.00,0.00,0,0.00,0.00,,,0,,,419.65,0,0,,0.00,1,0
1343,,PR0143,,2018,Aug,2390.10,0.00,9000.01,0.00,0.00,0,0.00,0.00,,,0,,,609.91,0,0,,0.00,1,0
1344,,PR0145,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1345,,PR0148,,2018,Aug,937.50,0.00,3600.00,0.00,0.00,0,0.00,0.00,,,0,,,262.50,0,0,,0.00,1,0
1346,,PR0151,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1347,,PR0154,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1348,,PR0178,,2018,Aug,1133.47,0.00,4199.99,0.00,0.00,0,0.00,0.00,,,0,,,266.52,0,0,,0.00,1,0
1349,,PR0180A,,2018,Aug,1562.50,0.00,6000.00,0.00,0.00,0,0.00,0.00,,,0,,,437.50,0,0,,0.00,1,0
1350,,PR0187,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1351,,PR0194,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1352,,PR0196,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1353,,PR0200,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1354,,PR0201,,2018,Aug,762.71,0.00,2700.00,0.00,0.00,0,0.00,0.00,,,0,,,137.29,0,0,,0.00,1,0
1355,,PR0202,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1356,,PR0209,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1357,,PR0225,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1358,,PR0229,,2018,Aug,592.37,0.00,2097.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
1359,,PR0235,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1360,,PR0249,,2018,Aug,1100.84,0.00,3896.99,0.00,0.00,0,0.00,0.00,,,0,,,198.15,0,0,,0.00,1,0
1361,,PR0270,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1362,,PR0271,,2018,Aug,446.43,0.00,1500.00,0.00,0.00,0,0.00,0.00,,,0,,,53.57,0,0,,0.00,1,0
1363,,PR0275,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1364,,PR0278,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1365,,PR0297,,2018,Aug,625.00,0.00,2400.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
1366,,PR0310,,2018,Aug,1133.47,0.00,4199.99,0.00,0.00,0,0.00,0.00,,,0,,,266.52,0,0,,0.00,1,0
1367,,PR0325,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1368,,PR0331,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1369,,PR0333,,2018,Aug,2812.50,0.00,10800.00,0.00,0.00,0,0.00,0.00,,,0,,,787.50,0,0,,0.00,1,0
1370,,PR0335,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1371,,PR0341,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1372,,PR0342,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1373,,PR0355,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1374,,PR0357,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1375,,PR0361,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1376,,PR0364,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1377,,PR0365,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1378,,PR0372,,2018,Aug,625.00,0.00,2400.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
1379,,PR0377,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1380,,PR0381,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1381,,PR0387,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1382,,PR0393,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1383,,PR0394,,2018,Aug,2273.57,0.00,8400.00,0.00,0.00,0,0.00,0.00,,,0,,,526.43,0,0,,0.00,1,0
1384,,PR0396,,2018,Aug,1641.95,0.00,6000.00,0.00,0.00,0,0.00,0.00,,,0,,,358.05,0,0,,0.00,1,0
1385,,PR0403,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1386,,PR0404,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1387,,PR0405,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1388,,PR0406,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1389,,PR0410,,2018,Aug,338.98,0.00,1200.00,0.00,0.00,0,0.00,0.00,,,0,,,61.02,0,0,,0.00,1,0
1390,,PR0414,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1391,,PR0429,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1392,,PR0431,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1393,,PR0435,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1394,,PR0447,,2018,Aug,932.20,0.00,3299.99,0.00,0.00,0,0.00,0.00,,,0,,,167.79,0,0,,0.00,1,0
1395,,PR0456,,2018,Aug,2782.04,0.00,10199.99,0.00,0.00,0,0.00,0.00,,,0,,,617.95,0,0,,0.00,1,0
1396,,PR0463,,2018,Aug,1525.42,0.00,5399.99,0.00,0.00,0,0.00,0.00,,,0,,,274.57,0,0,,0.00,1,0
1397,,PR0475,,2018,Aug,423.73,0.00,1500.00,0.00,0.00,0,0.00,0.00,,,0,,,76.27,0,0,,0.00,1,0
1398,,PR0481,,2018,Aug,2039.19,0.00,7499.99,0.00,0.00,0,0.00,0.00,,,0,,,460.80,0,0,,0.00,1,0
1399,,PR0484,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1400,,PR0497,,2018,Aug,847.46,0.00,3000.00,0.00,0.00,0,0.00,0.00,,,0,,,152.54,0,0,,0.00,1,0
1401,,PR0509,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1402,,PR0513,,2018,Aug,847.46,0.00,3000.00,0.00,0.00,0,0.00,0.00,,,0,,,152.54,0,0,,0.00,1,0
1403,,PR0515,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1404,,PR0520,,2018,Aug,1530.72,0.00,5700.00,0.00,0.00,0,0.00,0.00,,,0,,,369.28,0,0,,0.00,1,0
1405,,PR0524,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1406,,PR0532,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1407,,PR0533,,2018,Aug,1147.46,0.00,4062.00,0.00,0.00,0,0.00,0.00,,,0,,,206.54,0,0,,0.00,1,0
1408,,PR0533A,,2018,Aug,1200.85,0.00,4251.00,0.00,0.00,0,0.00,0.00,,,0,,,216.15,0,0,,0.00,1,0
1409,,PR0533B,,2018,Aug,5032.87,0.00,18966.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
1410,,PR0533C,,2018,Aug,5032.87,0.00,18966.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
1411,,PR0533D,,2018,Aug,5032.87,0.00,18966.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
1412,,PR0533E,,2018,Aug,5032.87,0.00,18966.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
1413,,PR0533F,,2018,Aug,5032.87,0.00,18966.00,0.00,0.00,0,0.00,0.00,,,0,,,1289.13,0,0,,0.00,1,0
1414,,PR0533G,,2018,Aug,1200.85,0.00,4251.00,0.00,0.00,0,0.00,0.00,,,0,,,216.15,0,0,,0.00,1,0
1415,,PR0533H,,2018,Aug,3755.53,0.00,14061.00,0.00,0.00,0,0.00,0.00,,,0,,,931.47,0,0,,0.00,1,0
1416,,PR0533I,,2018,Aug,3789.98,0.00,14190.00,0.00,0.00,0,0.00,0.00,,,0,,,940.02,0,0,,0.00,1,0
1417,,PR0534,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1418,,PR0537,,2018,Aug,1355.93,0.00,4799.99,0.00,0.00,0,0.00,0.00,,,0,,,244.06,0,0,,0.00,1,0
1419,,PR0548,,2018,Aug,1171.88,0.00,4500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
1420,,PR0550,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1421,,PR0560,,2018,Aug,625.00,0.00,2400.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
1422,,PR0565,,2018,Aug,3125.00,0.00,12000.00,0.00,0.00,0,0.00,0.00,,,0,,,875.00,0,0,,0.00,1,0
1423,,PR0568,,2018,Aug,1843.22,0.00,6900.00,0.00,0.00,0,0.00,0.00,,,0,,,456.78,0,0,,0.00,1,0
1424,,PR0574,,2018,Aug,461.02,0.00,1632.00,0.00,0.00,0,0.00,0.00,,,0,,,82.98,0,0,,0.00,1,0
1425,,PR0577,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1426,,PR0581,,2018,Aug,1171.88,0.00,4500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
1427,,PR0582,,2018,Aug,1250.00,0.00,4800.00,0.00,0.00,0,0.00,0.00,,,0,,,350.00,0,0,,0.00,1,0
1428,,PR0589,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1429,,PR0591,,2018,Aug,2039.19,0.00,7499.99,0.00,0.00,0,0.00,0.00,,,0,,,460.80,0,0,,0.00,1,0
1430,,PR0595,,2018,Aug,1171.88,0.00,4500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
1431,,PR0615,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1432,,PR0616,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1433,,PR0621,,2018,Aug,1640.63,0.00,6300.01,0.00,0.00,0,0.00,0.00,,,0,,,459.38,0,0,,0.00,1,0
1434,,PR0622,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
1435,,PR0623,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1436,,PR0625,,2018,Aug,1275.00,0.00,4896.00,0.00,0.00,0,0.00,0.00,,,0,,,357.00,0,0,,0.00,1,0
1437,,PR0627,,2018,Aug,625.00,0.00,2400.00,0.00,0.00,0,0.00,0.00,,,0,,,175.00,0,0,,0.00,1,0
1438,,PR0628,,2018,Aug,1171.88,0.00,4500.01,0.00,0.00,0,0.00,0.00,,,0,,,328.13,0,0,,0.00,1,0
1439,,PR0630,,2018,Aug,1101.69,0.00,3899.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
1440,,PR0634,,2018,Aug,508.47,0.00,1799.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
1441,,PR0635,,2018,Aug,2474.85,0.00,9300.01,0.00,0.00,0,0.00,0.00,,,0,,,625.16,0,0,,0.00,1,0
1442,,PR0641,,2018,Aug,593.22,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
