id,bill_id,customer_id,invoice_date,year,month,total_rent_cost,received_total_rent_cost,pending_rent_cost,actual_total_security_deposit_amount,received_total_security_deposit_amount,pending_security_amount,received_total_processing_fee,received__total_installation_fee,followup_status,remarks,is_paid_total_amount,invoice_status,due_date,tax,discount_amount,discount_type,discount_reason,Late_Payment_Charge,invoice_mail_status,invoice_sms_status
15027,,EV0102,,2018,Sep,1016.95,0.00,1200.00,0.00,0.00,0,0.00,0.00,,,0,,,183.05,0,0,,0.00,1,0
15028,,PR0002,,2018,Sep,1016.95,0.00,1200.00,0.00,0.00,0,0.00,0.00,,,0,,,183.05,0,0,,0.00,1,0
15029,,PR0021,,2018,Sep,2358.32,0.00,3890.01,0.00,0.00,0,0.00,0.00,,,0,,,541.69,0,0,,0.00,1,0
15030,,PR0034,,2018,Sep,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
15031,,PR0035,,2018,Sep,1921.35,0.00,2200.01,0.00,0.00,0,0.00,0.00,,,0,,,478.66,0,0,,0.00,1,0
15032,,PR0048,,2018,Sep,3654.66,0.00,4500.00,0.00,0.00,0,0.00,0.00,,,0,,,845.34,0,0,,0.00,1,0
15033,,PR0049,,2018,Sep,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
15034,,PR0052,,2018,Sep,1186.44,0.00,1400.00,0.00,0.00,0,0.00,0.00,,,0,,,213.56,0,0,,0.00,1,0
15035,,PR0055,,2018,Sep,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
15036,,PR0062,,2018,Sep,1250.00,0.00,1600.00,0.00,0.00,0,0.00,0.00,,,0,,,350.00,0,0,,0.00,1,0
15037,,PR0074,,2018,Sep,508.47,0.00,-0.01,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
15038,,PR0075,,2018,Sep,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
15039,,PR0095,,2018,Sep,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
