id,product_id,ptdvar_id,brand,purchase_type,status,prtd_location,in_service,vendor,sl_no,purchase_date,purchase_cost,expenses,rent_vendor,rent_purchase_date,rent_to_vendor_cost,bill_no,warranty_end_date,warranty_status,product_owned_type,month,year,close_status
45,AC1100015HRCT077171821,6,22,1,1,0,0,1,,07-07-17,29000.00,0.00,,0000-00-00,0.00,45,,0,0,7,2017,0
99,TV1076040VUTE051171567,11,27,1,1,0,0,1,,05-01-17,23450.00,0.00,,0000-00-00,0.00,99,,0,0,1,2017,0
130,TV1077040VUTE071171568,11,27,1,1,1,0,1,,07-01-17,23450.00,0.00,,0000-00-00,0.00,130,,0,0,1,2017,0
235,WM1146060WPCT101171546,3,6,1,1,0,0,1,,10-01-17,13200.00,0.00,,0000-00-00,0.00,235,,0,0,1,2017,0
247,AC1086010VSCT225171719,5,9,1,1,0,0,11,,22-05-17,21500.00,0.00,,0000-00-00,0.00,247,,0,0,5,2017,0
257,AC1061010LDTE093171657,5,14,1,1,0,0,1,,09-03-17,22000.00,0.00,,0000-00-00,0.00,257,,0,0,3,2017,0
293,SO1023003SSSS061171556,18,7,1,1,0,0,1,,06-01-17,13660.00,0.00,,0000-00-00,0.00,293,,0,0,1,2017,0
294,CT1009XXXSSSS051171551,21,7,1,1,1,0,1,,05-01-17,3650.00,0.00,,0000-00-00,0.00,294,,0,0,1,2017,0
295,WC1031DWCSSSS061171558,19,7,1,1,0,0,1,,06-01-17,14872.00,0.00,,0000-00-00,0.00,295,,0,0,1,2017,0
297,WC1032DWCSSSS061171559,19,7,1,1,0,0,1,,06-01-17,14872.00,0.00,,0000-00-00,0.00,297,,0,0,1,2017,0
305,CY1019HKBHSBC121171593,34,18,1,1,1,0,1,,12-01-17,7400.00,0.00,,0000-00-00,0.00,305,,0,0,1,2017,0
306,RE1126190SSCT241171591,2,2,1,1,0,0,1,,24-01-17,11500.00,0.00,,0000-00-00,0.00,306,,0,0,1,2017,0
316,RE1128190SSCT281171595,2,2,1,1,0,0,1,,28-01-17,11500.00,0.00,,0000-00-00,0.00,316,,0,0,1,2017,0
318,TU1009WTVSSSS012171604,22,7,1,1,0,0,1,,01-02-17,5966.00,0.00,,0000-00-00,0.00,318,,0,0,2,2017,0
320,WM1155060WPTE052171612,3,6,1,1,0,0,1,,05-02-17,13200.00,0.00,,0000-00-00,0.00,320,,0,0,2,2017,0
